data,hora,taxa
2024/09/09,23:28:47,10.953664700987648
2024/09/09,23:28:49,10.807000510992184
2024/09/09,23:28:51,11.356888624974236
2024/09/09,23:28:53,10.613470983476768
2024/09/09,23:28:55,11.030039238825491
2024/09/09,23:28:57,10.712127237485566
2024/09/09,23:28:59,10.613032660932147
2024/09/09,23:29:01,10.750712236479963
2024/09/09,23:29:04,11.070337723853486
2024/09/09,23:29:06,10.6382828982759
2024/09/09,23:32:08,11.460859796915113
2024/09/09,23:32:10,11.02377033444756
2024/09/09,23:32:13,10.776681185305529
2024/09/09,23:32:15,10.670036487968126
2024/09/09,23:32:17,10.76944843902886
2024/09/09,23:32:20,10.820530131731081
2024/09/09,23:32:22,11.052100495252477
2024/09/09,23:32:24,10.989494878202295
2024/09/09,23:32:26,11.197622598042562
2024/09/09,23:32:28,10.902129911964423
